Obat E Katalog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ACYCLOVIR TAB 200 MG;TAB;0.00;2700.00;0.00;250.00;;2950.00;;;0.00;0.00;;251.00;;263.00;;;2700.00;;250.00;;2950.00;0.00;677700.00;0.00;65750.00;0.00;743450.00;
2;ACYCLOVIR TAB 400 MG;TAB;0.00;0.00;0.00;150.00;;150.00;;;0.00;0.00;;;;415.00;;;;;150.00;;150.00;0.00;0.00;0.00;62250.00;0.00;62250.00;
3;ALBUMINAR 25%;BTL 100ML;;0.00;4.00;;;4.00;;;0.00;0.00;;;1500000.00;;;;;4.00;;;4.00;0.00;0.00;6000000.00;0.00;0.00;6000000.00;
4;ALPRAZOLAM TAB 0.5 MG;TAB;0.00;0.00;29.00;;;29.00;;;0.00;29.00;;;144.00;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
5;AMILODIPIN 5 MG;TAB;0.00;0.00;;1170.00;;1170.00;;;0.00;617.00;;;;93.00;;;;;553.00;;553.00;0.00;0.00;0.00;51429.00;0.00;51429.00;
6;AMINOFUSIN L-600;BTL500 ML;0.00;0.00;29.00;;;29.00;;;0.00;0.00;;;56200.00;;;;;29.00;;;29.00;0.00;0.00;1629800.00;0.00;0.00;1629800.00;
7;AMINOFILIN INJ 24 MG/ML;AMPUL;0.00;;88.00;24.00;;112.00;;;0.00;7.00;;;3349.00;3080.00;;;;81.00;24.00;;105.00;0.00;0.00;271269.00;73920.00;0.00;345189.00;
8;AMINOFILIN TAB 200 MG;TAB;0.00;;0.00;100.00;;100.00;;;0.00;0.00;;;;99.00;;;;;100.00;;100.00;0.00;0.00;0.00;9900.00;0.00;9900.00;
9;AMINOFLUID L-INF OTSU 500 ML;BTL;0.00;0.00;;500.00;;500.00;;;0.00;39.00;;;;64990.00;;;;;461.00;;461.00;0.00;0.00;0.00;29960390.00;0.00;29960390.00;
10;AMINOLEBAN L-INF OTSU;BTL;0.00;;;;104.00;104.00;;;0.00;14.00;;;71100.00;;74655.00;;;;;90.00;90.00;0.00;0.00;0.00;0.00;6718950.00;6718950.00;
11;AMIODARON HCL INJ 150 MG;AMPUL;0.00;0.00;0.00;72.00;;72.00;;;0.00;1.00;;;;8649.00;;;;;71.00;;71.00;0.00;0.00;0.00;614079.00;0.00;614079.00;
12;AMIODARON TAB 200 MG;TAB;0.00;0.00;60.00;300.00;;360.00;;;0.00;0.00;;;1375.00;1210.00;;;;60.00;300.00;;360.00;0.00;0.00;82500.00;363000.00;0.00;445500.00;
13;AMITRIPTHYLLINE TAB 25 MG;TAB;0.00;0.00;1100.00;;;1100.00;;;0.00;50.00;;;172.00;;;;;1050.00;;;1050.00;0.00;0.00;180600.00;0.00;0.00;180600.00;
14;AMOKSISILIN KAP 500 MG;TAB;;10400.00;41200.00;22500.00;;74100.00;;;0.00;1197.00;;279.00;250.02;192.00;;;9203.00;41200.00;22500.00;;72903.00;0.00;2567637.00;10300824.00;4320000.00;0.00;17188461.00;
15;AMOKSISILIN KAP 250 MG;TAB;0.00;4280.00;0.00;;;4280.00;;;0.00;12.00;;220.00;;;;;4268.00;;;;4268.00;0.00;938960.00;0.00;0.00;0.00;938960.00;
16;AMOKSISILIN SYR 125 MG/ML;BTL;;;;347.00;;347.00;;;0.00;29.00;;;;1975.00;;;;;318.00;;318.00;0.00;0.00;0.00;628050.00;0.00;628050.00;
17;ANALOG INSULIN LONG ACTING (LANTUS SOLOSTAR);FLEXIPEN;;;;;131.00;131.00;;;0.00;0.00;;;;;83950.00;;;;;131.00;131.00;0.00;0.00;0.00;0.00;10997450.00;10997450.00;
18;ANALOG INSULIN LONG ACTING (LEVEMIR);FLEXIPEN;0.00;0.00;;;192.00;192.00;;;0.00;14.00;;;;85000.00;83950.00;;;;;178.00;178.00;0.00;0.00;0.00;0.00;14943100.00;14943100.00;
19;ANALOG INSULIN MIX ACTING (NOVOMIX);FLEXIPEN;;;;;158.00;158.00;;;0.00;3.00;;;;;110968.00;;;;;155.00;155.00;0.00;0.00;0.00;0.00;17200040.00;17200040.00;
20;ANALOG INSULIN RAPID ACTING (NOVORAPID);FLEXIPEN;;;;;582.00;582.00;;;0.00;17.00;;;;;87000.00;;;;;565.00;565.00;0.00;0.00;0.00;0.00;49155000.00;49155000.00;
21;ANTASIDA DOEN TAB;TAB;;;;;4600.00;4600.00;;;0.00;78.00;;;;;57.00;;;;;4522.00;4522.00;0.00;0.00;0.00;0.00;257754.00;257754.00;
22;ANTI HEMOROID DOEN SUPP;TAB;;;;;60.00;60.00;;;0.00;0.00;;;;;3800.00;;;;;60.00;60.00;0.00;0.00;0.00;0.00;228000.00;228000.00;
23;ANTI TETANUS TOKSOID JERAP (VAKSIN TT) ;VIAL;;;;2.00;;2.00;;;0.00;2.00;;;;49500.00;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
24;ARTESUNAT INJ;VIAL;;;;5.00;;5.00;;;0.00;0.00;;;;46800.00;;;;;5.00;;5.00;0.00;0.00;0.00;234000.00;0.00;234000.00;
25;ASAM ASETILSALISILAT TAB 80 MG;TAB;0.00;0.00;0.00;19300.00;;19300.00;;;0.00;432.00;;;;104.00;;;;;18868.00;;18868.00;0.00;0.00;0.00;1962272.00;0.00;1962272.00;
26;ASAM ASETILSALISILAT TAB 100 MG;TAB;;;;500.00;;500.00;;;0.00;0.00;;;;162.00;;;;;500.00;;500.00;0.00;0.00;0.00;81000.00;0.00;81000.00;
27;ASAM FOLAT 1 MG;TAB;;;;1500.00;;1500.00;;;0.00;180.00;;;;81.00;;;;;1320.00;;1320.00;0.00;0.00;0.00;106920.00;0.00;106920.00;
28;ASAM PIPEMIDAT 400 MG TAB (UROTRACTIN);TAB;2580.00;0.00;0.00;;;2580.00;;;0.00;0.00;3025.00;;;;;2580.00;;;;;2580.00;7804500.00;0.00;0.00;0.00;0.00;7804500.00;
29;ASAM VALPROAT SYR 250 MG/5ML;BTL;0.00;;0.00;;154.00;154.00;;;0.00;50.00;;;;26987.00;18730.00;;;;;104.00;104.00;0.00;0.00;0.00;0.00;1947920.00;1947920.00;
30;ATRAKURIUM (NOTRIXUM);AMPUL;0.00;0.00;;265.00;75.00;340.00;;;0.00;20.00;;;;11826.00;12000.00;;;;245.00;75.00;320.00;0.00;0.00;0.00;2897370.00;900000.00;3797370.00;
31;"ATROPIN SULFAT INJ 0;25 MG";AMPUL;0.00;0.00;1470.00;;;1470.00;;;0.00;0.00;;;1672.00;;;;;1470.00;;;1470.00;0.00;0.00;2457840.00;0.00;0.00;2457840.00;
32;"ATROPIN 0;5 MG TAB";TAB;0.00;500.00;0.00;;;500.00;;;0.00;0.00;;81.00;;;;;500.00;;;;500.00;0.00;40500.00;0.00;0.00;0.00;40500.00;
33;ATORVASTATIN TAB 10 MG;TAB;;;;;300.00;300.00;;;0.00;0.00;;;;;1150.00;;;;;300.00;300.00;0.00;0.00;0.00;0.00;345000.00;345000.00;
34;ATORVASTATIN TAB 20 MG;TAB;;;;;;0.00;600.00;;600.00;150.00;;;;;945.00;;;;;450.00;450.00;0.00;0.00;0.00;0.00;425250.00;425250.00;
35;ASAM MEFENAMAT TAB 500 MG;TAB;0.00;;0.00;6700.00;25000.00;31700.00;;;0.00;2890.00;;;;105.00;106.00;;;;3810.00;25000.00;28810.00;0.00;0.00;0.00;400050.00;2650000.00;3050050.00;
36;ASAM TRANEKSAMAT INJ 500 MG;AMPUL;0.00;0.00;1360.00;;;1360.00;1010.00;;1010.00;467.00;;;2999.00;;2332.00;;;893.00;;1010.00;1903.00;0.00;0.00;2678107.00;0.00;2355320.00;5033427.00;
37;ASAM URSODEOKSIKOLAT KAP 250 MG;KAP;;;;;1050.00;1050.00;;;0.00;0.00;;;;;2225.00;;;;;1050.00;1050.00;0.00;0.00;0.00;0.00;2336250.00;2336250.00;
38;ASERING L-INFUS OTSU;BTL 500;0.00;0.00;0.00;;3872.00;3872.00;;;0.00;387.00;;;;9725.00;9646.00;;;;;3485.00;3485.00;0.00;0.00;0.00;0.00;33616310.00;33616310.00;
39;AQUA PRO INJ;BTl 25 ML;0.00;0.00;;;5451.00;5451.00;;;0.00;810.00;;;;2750.00;2860.00;;;;;4641.00;4641.00;0.00;0.00;0.00;0.00;13273260.00;13273260.00;
40;AZITHROMYCIN TAB 500 MG;TAB;;;;;700.00;700.00;;;0.00;0.00;;;;;1778.00;;;;;700.00;700.00;0.00;0.00;0.00;0.00;1244600.00;1244600.00;
41;BEDAK SALISIL 2% 50GR;KTK;0.00;;;100.00;;100.00;;;0.00;6.00;;;1080.00;1081.00;;;;;94.00;;94.00;0.00;0.00;0.00;101614.00;0.00;101614.00;
42;BETAHISTIN MESYLATE TAB 6 MG;TAB;0.00;0.00;0.00;1140.00;;1140.00;;;0.00;123.00;;;;165.00;;;;;1017.00;;1017.00;0.00;0.00;0.00;167805.00;0.00;167805.00;
43;"BETAMETASON VALERATE KRIM 0;1%";TUBE;;;;;;0.00;475.00;;475.00;8.00;;;;;1400.00;;;;;467.00;467.00;0.00;0.00;0.00;0.00;653800.00;653800.00;
44;BACITRACIN POLYMYXIN B SLP KULIT;TUBE;0.00;99.00;0.00;;;99.00;;;0.00;0.00;;2767.00;;;;;99.00;;;;99.00;0.00;273933.00;0.00;0.00;0.00;273933.00;
45;BISACODIL SUPPO 5 MG ;SUPPO;0.00;816.00;0.00;;;816.00;;;0.00;46.00;;4990.00;;;;;770.00;;;;770.00;0.00;3842300.00;0.00;0.00;0.00;3842300.00;
46;BISACODIL TAB 5 MG ;TAB;;;;;630.00;630.00;;;0.00;0.00;;;;;330.00;;;;;630.00;630.00;0.00;0.00;0.00;0.00;207900.00;207900.00;
47;"BISOPROLOL TAB 2;5 MG (CONCOR)";TAB;;;;;5600.00;5600.00;;;0.00;276.00;;;;;815.00;;;;;5324.00;5324.00;0.00;0.00;0.00;0.00;4339060.00;4339060.00;
48;BISOPROLOL TAB 5 MG ;TAB;;;;;2910.00;2910.00;;;0.00;35.00;;;;;256.00;;;;;2875.00;2875.00;0.00;0.00;0.00;0.00;736000.00;736000.00;
49;BUPIVACAINE SPINAL 20 MG/4ML INJ;AMPUL;0.00;0.00;;;552.00;552.00;;;0.00;106.00;;;25750.00;35200.00;53900.00;;;;;446.00;446.00;0.00;0.00;0.00;0.00;24039400.00;24039400.00;
50;"BUDESONIDE 160/4;5MCG/SYMBICORT";BTL;;;;;;0.00;10.00;;10.00;10.00;;;;;139880.00;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
51;"BUDESONIDE 80/4;5MCG/SYMBICORT";BTL;;;;;;0.00;25.00;;25.00;10.00;;;;;125840.00;;;;;15.00;15.00;0.00;0.00;0.00;0.00;1887600.00;1887600.00;
52;CALCII GLUCONAS INJ 100MG/ML;AMPUL;0.00;;90.00;;;90.00;;;0.00;5.00;;;9955.00;;;;;85.00;;;85.00;0.00;0.00;846175.00;0.00;0.00;846175.00;
53;CANDESARTAN 8 MG TAB;TAB;;;;1910.00;;1910.00;;;0.00;22.00;;;;803.00;;;;;1888.00;;1888.00;0.00;0.00;0.00;1516064.00;0.00;1516064.00;
54;CANDESARTAN 16 MG TAB;TAB;0.00;0.00;;600.00;;600.00;;;0.00;0.00;;;6400.00;1265.00;;;;;600.00;;600.00;0.00;0.00;0.00;759000.00;0.00;759000.00;
55;CAPTOPRIL TAB 50 MG;TAB;;;;;;0.00;1200.00;;1200.00;0.00;;;;;149.00;;;;;1200.00;1200.00;0.00;0.00;0.00;0.00;178800.00;178800.00;
56;CARBAMAZEPINE 200 MG TAB;TAB;0.00;397.00;0.00;1100.00;;1497.00;;;0.00;0.00;;269.00;;268.00;;;397.00;;1100.00;;1497.00;0.00;106793.00;0.00;294800.00;0.00;401593.00;
57;CEFADROXYL SYRUP 125 MG/5 ML;BTL 60 ML;0.00;0.00;;105.00;;105.00;;;0.00;29.00;;;;4200.00;;;;;76.00;;76.00;0.00;0.00;0.00;319200.00;0.00;319200.00;
58;CEFEPIME 1GR INJ;VIAL;;0.00;28.00;;;28.00;;;0.00;0.00;;;39989.00;;;;;28.00;;;28.00;0.00;0.00;1119692.00;0.00;0.00;1119692.00;
59;CEFIXIME DRY SYRUP 100 MG;BTL;;;;233.00;;233.00;;;0.00;10.00;;;;7250.00;;;;;223.00;;223.00;0.00;0.00;0.00;1616750.00;0.00;1616750.00;
60;CEFIXIME TAB 100 MG;TAB;;;;400.00;;400.00;;;0.00;70.00;;;;750.00;;;;;330.00;;330.00;0.00;0.00;0.00;247500.00;0.00;247500.00;
61;CEFTAZIDINE 1 GR INJ;VIAL;;;;;240.00;240.00;;;0.00;0.00;;;;;13439.00;;;;;240.00;240.00;0.00;0.00;0.00;0.00;3225360.00;3225360.00;
62;CEFTRIAXON INJ 1 GR;VIAL;;;;;1980.00;1980.00;;;0.00;258.00;;;;;8765.00;;;;;1722.00;1722.00;0.00;0.00;0.00;0.00;15093330.00;15093330.00;
63;CENDO LYTER;BTL;;;;169.00;;169.00;;;0.00;29.00;;;;19125.00;;;;;140.00;;140.00;0.00;0.00;0.00;2677500.00;0.00;2677500.00;
64;CENDO MYDRIATIL 1%;BTL;;;;231.00;;231.00;;;0.00;3.00;;;;36740.00;;;;;228.00;;228.00;0.00;0.00;0.00;8376720.00;0.00;8376720.00;
